"merchant","hour","average_amount","transaction_count"
"fraud_Baumbach, Feeney and Morar","12",48.4256976744186,"86"
"fraud_Baumbach, Feeney and Morar","13",48.874299999999984,"100"
"fraud_Baumbach, Feeney and Morar","14",61.147444444444446,"90"
"fraud_Baumbach, Feeney and Morar","15",90.8870786516854,"89"
"fraud_Baumbach, Feeney and Morar","16",44.801685393258424,"89"
"fraud_Baumbach, Feeney and Morar","17",55.861204819277106,"83"
"fraud_Baumbach, Feeney and Morar","18",82.6221568627451,"102"
"fraud_Baumbach, Feeney and Morar","19",95.88865168539328,"89"
"fraud_Baumbach, Feeney and Morar","20",67.54239130434784,"92"
"fraud_Baumbach, Feeney and Morar","21",91.71000000000001,"87"
"fraud_Baumbach, Feeney and Morar","22",200.4843298969072,"97"
"fraud_Baumbach, Feeney and Morar","23",222.09150442477883,"113"
"fraud_Boyer-Reichert","0",65.74822580645161,"62"
"fraud_Boyer-Reichert","1",110.79116883116883,"77"
"fraud_Boyer-Reichert","2",115.5545070422535,"71"
"fraud_Boyer-Reichert","3",51.37473684210526,"57"
"fraud_Boyer-Reichert","4",58.17842857142858,"70"
"fraud_Boyer-Reichert","5",66.65647887323944,"71"
"fraud_Boyer-Reichert","6",59.48685714285714,"70"
"fraud_Boyer-Reichert","7",51.84907692307693,"65"
"fraud_Boyer-Reichert","8",76.65941176470588,"68"
"fraud_Boyer-Reichert","9",44.440365853658534,"82"
"fraud_Boyer-Reichert","10",77.85026666666667,"75"
"fraud_Boyer-Reichert","11",53.841159420289856,"69"
"fraud_Boyer-Reichert","12",100.54887640449441,"89"
"fraud_Boyer-Reichert","13",49.90304347826088,"92"
"fraud_Boyer-Reichert","14",86.60293333333334,"75"
"fraud_Boyer-Reichert","15",93.22203883495145,"103"
"fraud_Boyer-Reichert","16",97.99923913043479,"92"
"fraud_Boyer-Reichert","17",113.00776699029126,"103"
"fraud_Boyer-Reichert","18",45.984878048780494,"82"
"fraud_Boyer-Reichert","19",91.68867469879515,"83"
"fraud_Boyer-Reichert","20",52.769,"70"
"fraud_Boyer-Reichert","21",53.98455555555556,"90"
"fraud_Boyer-Reichert","22",223.84828282828286,"99"
"fraud_Boyer-Reichert","23",218.6405376344086,"93"
"fraud_Boyer PLC","0",84.26967741935486,"155"
"fraud_Boyer PLC","1",82.40183206106869,"131"
"fraud_Boyer PLC","2",78.11634482758622,"145"
"fraud_Boyer PLC","3",87.49891719745223,"157"
"fraud_Boyer PLC","4",57.944545454545455,"143"
"fraud_Boyer PLC","5",44.5980503144654,"159"
"fraud_Boyer PLC","6",65.3381379310345,"145"
"fraud_Boyer PLC","7",61.50866242038216,"157"
"fraud_Boyer PLC","8",58.21758389261745,"149"
"fraud_Boyer PLC","9",53.4320979020979,"143"
"fraud_Boyer PLC","10",66.59095238095236,"126"
"fraud_Boyer PLC","11",77.7679104477612,"134"
"fraud_Boyer PLC","12",61.27,"159"
"fraud_Boyer PLC","13",70.57475524475525,"143"
"fraud_Boyer PLC","14",72.30520270270272,"148"
"fraud_Boyer PLC","15",51.07414473684209,"152"
"fraud_Boyer PLC","16",77.41554744525547,"137"
"fraud_Boyer PLC","17",102.8886111111111,"144"
"fraud_Boyer PLC","18",39.10856,"125"
"fraud_Boyer PLC","19",90.34359154929578,"142"
"fraud_Boyer PLC","20",75.51987179487179,"156"
"fraud_Boyer PLC","21",61.75937062937063,"143"
"fraud_Boyer PLC","22",175.68225352112677,"142"
"fraud_Boyer PLC","23",121.06499999999998,"158"
"fraud_Cormier LLC","0",58.61387500000001,"80"
"fraud_Cormier LLC","1",64.83898305084746,"59"
"fraud_Cormier LLC","2",91.5952564102564,"78"
"fraud_Cormier LLC","3",111.45296875000001,"64"
"fraud_Cormier LLC","4",78.93499999999999,"74"
"fraud_Cormier LLC","5",102.04095238095238,"63"
"fraud_Cormier LLC","6",57.446911764705874,"68"
"fraud_Cormier LLC","7",70.58279411764707,"68"
"fraud_Cormier LLC","8",115.64661538461539,"65"
"fraud_Cormier LLC","9",77.61083333333333,"84"
"fraud_Cormier LLC","10",75.62426229508195,"61"
"fraud_Cormier LLC","11",83.54242857142857,"70"
"fraud_Cormier LLC","12",54.84367521367521,"234"
"fraud_Cormier LLC","13",54.66976377952756,"254"
"fraud_Cormier LLC","14",88.28589108910889,"202"
"fraud_Cormier LLC","15",46.77185654008441,"237"
"fraud_Cormier LLC","16",54.87590163934425,"244"
"fraud_Cormier LLC","17",56.15583710407238,"221"
"fraud_Cormier LLC","18",69.931875,"256"
"fraud_Cormier LLC","19",75.3157692307692,"234"
"fraud_Cormier LLC","20",55.966697674418604,"215"
"fraud_Cormier LLC","21",51.39839826839828,"231"
"fraud_Cormier LLC","22",124.31377510040166,"249"
"fraud_Cormier LLC","23",105.20957983193276,"238"
"fraud_Fisher-Schowalter","0",100.10028571428572,"70"
"fraud_Fisher-Schowalter","1",47.46900000000001,"80"
"fraud_Fisher-Schowalter","2",112.58281250000002,"64"
"fraud_Fisher-Schowalter","3",61.886923076923075,"65"
"fraud_Fisher-Schowalter","4",111.51121212121213,"66"
"fraud_Fisher-Schowalter","5",88.14264705882353,"68"
"fraud_Fisher-Schowalter","6",75.07297297297296,"74"
"fraud_Fisher-Schowalter","7",83.95730158730159,"63"
"fraud_Fisher-Schowalter","8",66.57769230769232,"65"
"fraud_Fisher-Schowalter","9",69.20257142857143,"70"
"fraud_Fisher-Schowalter","10",84.69945945945945,"74"
"fraud_Fisher-Schowalter","11",84.74199999999999,"75"
"fraud_Fisher-Schowalter","12",57.51135802469137,"81"
"fraud_Fisher-Schowalter","13",89.44922330097086,"103"
"fraud_Fisher-Schowalter","14",42.73703296703297,"91"
"fraud_Fisher-Schowalter","15",105.22232558139534,"86"
"fraud_Fisher-Schowalter","16",106.56481481481484,"108"
"fraud_Fisher-Schowalter","17",37.751351351351346,"74"
"fraud_Fisher-Schowalter","18",90.34433333333332,"90"
"fraud_Fisher-Schowalter","19",70.5166037735849,"106"
"fraud_Fisher-Schowalter","20",50.38467391304347,"92"
"fraud_Fisher-Schowalter","21",61.46042553191488,"94"
"fraud_Fisher-Schowalter","22",222.59770642201835,"109"
"fraud_Fisher-Schowalter","23",153.4671568627451,"102"
"fraud_Fisher Inc","0",46.20328571428571,"70"
"fraud_Fisher Inc","1",39.90491803278689,"61"
"fraud_Fisher Inc","2",81.917625,"80"
"fraud_Fisher Inc","3",77.59880597014924,"67"
"fraud_Fisher Inc","4",87.49689189189189,"74"
"fraud_Fisher Inc","5",60.147941176470574,"68"
"fraud_Fisher Inc","6",43.49538461538462,"78"
"fraud_Fisher Inc","7",47.75013157894737,"76"
"fraud_Fisher Inc","8",58.93934210526315,"76"
"fraud_Fisher Inc","9",75.25957142857142,"70"
"fraud_Fisher Inc","10",64.67530303030303,"66"
"fraud_Fisher Inc","11",80.13439024390243,"82"
"fraud_Fisher Inc","12",43.131595744680844,"94"
"fraud_Fisher Inc","13",76.31626373626375,"91"
"fraud_Fisher Inc","14",46.45018518518519,"108"
"fraud_Fisher Inc","15",71.61555555555553,"90"
"fraud_Fisher Inc","16",74.78237623762377,"101"
"fraud_Fisher Inc","17",67.45368932038835,"103"
"fraud_Fisher Inc","18",97.75794392523363,"107"
"fraud_Fisher Inc","19",86.83749999999999,"88"
"fraud_Fisher Inc","20",89.23662337662334,"77"
"fraud_Fisher Inc","21",114.60715789473684,"95"
"fraud_Fisher Inc","22",183.0759649122807,"114"
"fraud_Fisher Inc","23",188.69733333333332,"105"
"fraud_Gerlach Inc","0",102.42783132530118,"83"
"fraud_Gerlach Inc","1",79.907,"60"
"fraud_Gerlach Inc","2",81.40843749999999,"64"
"fraud_Gerlach Inc","3",74.45239436619717,"71"
"fraud_Gerlach Inc","4",91.03600000000002,"75"
"fraud_Gerlach Inc","5",100.42129411764708,"85"
"fraud_Gerlach Inc","6",95.39000000000001,"77"
"fraud_Gerlach Inc","7",70.81152777777778,"72"
"fraud_Gerlach Inc","8",78.62107142857144,"56"
"fraud_Gerlach Inc","9",54.52426229508196,"61"
"fraud_Gerlach Inc","10",74.52342857142858,"70"
"fraud_Gerlach Inc","11",49.34048387096774,"62"
"fraud_Gerlach Inc","12",81.4598823529412,"85"
"fraud_Gerlach Inc","13",58.69563829787236,"94"
"fraud_Gerlach Inc","14",40.421935483870975,"93"
"fraud_Gerlach Inc","15",110.3263829787234,"94"
"fraud_Gerlach Inc","16",93.0997802197802,"91"
"fraud_Gerlach Inc","17",77.90728155339805,"103"
"fraud_Gerlach Inc","18",110.12910891089108,"101"
"fraud_Gerlach Inc","19",85.66526315789473,"76"
"fraud_Gerlach Inc","20",69.435,"88"
"fraud_Gerlach Inc","21",46.723333333333336,"87"
"fraud_Gerlach Inc","22",162.14940594059405,"101"
"fraud_Gerlach Inc","23",210.31050505050504,"99"
"fraud_Gleason-Macejkovic","0",64.60632911392406,"79"
"fraud_Gleason-Macejkovic","1",68.03147540983606,"61"
"fraud_Gleason-Macejkovic","2",74.02790322580645,"62"
"fraud_Gleason-Macejkovic","3",72.14463768115941,"69"
"fraud_Gleason-Macejkovic","4",73.50076923076924,"65"
"fraud_Gleason-Macejkovic","5",74.32362318840579,"69"
"fraud_Gleason-Macejkovic","6",85.12157142857143,"70"
"fraud_Gleason-Macejkovic","7",56.76245901639346,"61"
"fraud_Gleason-Macejkovic","8",48.357741935483865,"62"
"fraud_Gleason-Macejkovic","9",94.76605263157894,"76"
"fraud_Gleason-Macejkovic","10",79.49704225352113,"71"
"fraud_Gleason-Macejkovic","11",71.04696202531646,"79"
"fraud_Gleason-Macejkovic","12",61.96616822429906,"107"
"fraud_Gleason-Macejkovic","13",113.04330645161289,"124"
"fraud_Gleason-Macejkovic","14",73.2178888888889,"90"
"fraud_Gleason-Macejkovic","15",92.20593406593409,"91"
"fraud_Gleason-Macejkovic","16",58.11036363636364,"110"
"fraud_Gleason-Macejkovic","17",80.59094017094017,"117"
"fraud_Gleason-Macejkovic","18",58.39242718446602,"103"
"fraud_Gleason-Macejkovic","19",81.26670454545454,"88"
"fraud_Gleason-Macejkovic","20",96.13920454545455,"88"
"fraud_Gleason-Macejkovic","21",56.39642857142857,"70"
"fraud_Gleason-Macejkovic","22",186.47553571428574,"112"
"fraud_Gleason-Macejkovic","23",160.6803669724771,"109"
