"merchant","hour","fraud_rate","transaction_count"
"fraud_Boyer-Reichert","10",0,"75"
"fraud_Boyer-Reichert","11",0,"69"
"fraud_Boyer-Reichert","12",0.02247191011235955,"89"
"fraud_Boyer-Reichert","13",0,"92"
"fraud_Boyer-Reichert","14",0.013333333333333334,"75"
"fraud_Boyer-Reichert","15",0,"103"
"fraud_Boyer-Reichert","16",0,"92"
"fraud_Boyer-Reichert","17",0.009708737864077669,"103"
"fraud_Boyer-Reichert","18",0,"82"
"fraud_Boyer-Reichert","19",0.012048192771084338,"83"
"fraud_Boyer-Reichert","20",0.014285714285714285,"70"
"fraud_Boyer-Reichert","21",0,"90"
"fraud_Boyer-Reichert","22",0.1414141414141414,"99"
"fraud_Boyer-Reichert","23",0.17204301075268819,"93"
"fraud_Goyette Inc","0",0,"63"
"fraud_Goyette Inc","1",0.0125,"80"
"fraud_Goyette Inc","2",0.015873015873015872,"63"
"fraud_Goyette Inc","3",0.013888888888888888,"72"
"fraud_Goyette Inc","4",0,"74"
"fraud_Goyette Inc","5",0,"80"
"fraud_Goyette Inc","6",0,"66"
"fraud_Goyette Inc","7",0,"58"
"fraud_Goyette Inc","8",0,"78"
"fraud_Goyette Inc","9",0,"61"
"fraud_Goyette Inc","10",0.013888888888888888,"72"
"fraud_Goyette Inc","11",0,"71"
"fraud_Goyette Inc","12",0.012345679012345678,"81"
"fraud_Goyette Inc","13",0.01020408163265306,"98"
"fraud_Goyette Inc","14",0.009900990099009901,"101"
"fraud_Goyette Inc","15",0.02197802197802198,"91"
"fraud_Goyette Inc","16",0.011363636363636364,"88"
"fraud_Goyette Inc","17",0,"90"
"fraud_Goyette Inc","18",0,"81"
"fraud_Goyette Inc","19",0,"79"
"fraud_Goyette Inc","20",0,"85"
"fraud_Goyette Inc","21",0.024096385542168676,"83"
"fraud_Goyette Inc","22",0.13157894736842105,"114"
"fraud_Goyette Inc","23",0.13157894736842105,"114"
"fraud_Jast Ltd","0",0.0136986301369863,"73"
"fraud_Jast Ltd","1",0.04477611940298507,"67"
"fraud_Jast Ltd","2",0.031746031746031744,"63"
"fraud_Jast Ltd","3",0,"60"
"fraud_Jast Ltd","4",0,"68"
"fraud_Jast Ltd","5",0,"67"
"fraud_Jast Ltd","6",0,"76"
"fraud_Jast Ltd","7",0,"75"
"fraud_Jast Ltd","8",0,"57"
"fraud_Jast Ltd","9",0,"63"
"fraud_Jast Ltd","10",0,"74"
"fraud_Jast Ltd","11",0,"67"
"fraud_Jast Ltd","12",0,"90"
"fraud_Jast Ltd","13",0.011494252873563218,"87"
"fraud_Jast Ltd","14",0,"93"
"fraud_Jast Ltd","15",0,"92"
"fraud_Jast Ltd","16",0,"72"
"fraud_Jast Ltd","17",0.020618556701030927,"97"
"fraud_Jast Ltd","18",0.010638297872340425,"94"
"fraud_Jast Ltd","19",0,"93"
"fraud_Jast Ltd","20",0.021739130434782608,"92"
"fraud_Jast Ltd","21",0,"100"
"fraud_Jast Ltd","22",0.16176470588235295,"136"
"fraud_Jast Ltd","23",0.08247422680412371,"97"
"fraud_Kerluke-Abshire","0",0.015873015873015872,"63"
"fraud_Kerluke-Abshire","1",0,"77"
"fraud_Kerluke-Abshire","2",0,"68"
"fraud_Kerluke-Abshire","3",0.046153846153846156,"65"
"fraud_Kerluke-Abshire","4",0,"59"
"fraud_Kerluke-Abshire","5",0,"67"
"fraud_Kerluke-Abshire","6",0,"77"
"fraud_Kerluke-Abshire","7",0,"72"
"fraud_Kerluke-Abshire","8",0,"76"
"fraud_Kerluke-Abshire","9",0,"62"
"fraud_Kerluke-Abshire","10",0,"49"
"fraud_Kerluke-Abshire","11",0,"67"
"fraud_Kerluke-Abshire","12",0.012658227848101266,"79"
"fraud_Kerluke-Abshire","13",0.01098901098901099,"91"
"fraud_Kerluke-Abshire","14",0,"82"
"fraud_Kerluke-Abshire","15",0.011111111111111112,"90"
"fraud_Kerluke-Abshire","16",0.012195121951219513,"82"
"fraud_Kerluke-Abshire","17",0,"77"
"fraud_Kerluke-Abshire","18",0.011764705882352941,"85"
"fraud_Kerluke-Abshire","19",0,"82"
"fraud_Kerluke-Abshire","20",0,"80"
"fraud_Kerluke-Abshire","21",0,"88"
"fraud_Kerluke-Abshire","22",0.24,"100"
"fraud_Kerluke-Abshire","23",0.08,"100"
"fraud_Kozey-Boehm","0",0.016129032258064516,"62"
"fraud_Kozey-Boehm","1",0.029850746268656716,"67"
"fraud_Kozey-Boehm","2",0.015873015873015872,"63"
"fraud_Kozey-Boehm","3",0.012987012987012988,"77"
"fraud_Kozey-Boehm","4",0,"69"
"fraud_Kozey-Boehm","5",0,"58"
"fraud_Kozey-Boehm","6",0,"49"
"fraud_Kozey-Boehm","7",0,"72"
"fraud_Kozey-Boehm","8",0,"52"
"fraud_Kozey-Boehm","9",0,"52"
"fraud_Kozey-Boehm","10",0,"67"
"fraud_Kozey-Boehm","11",0.014285714285714285,"70"
"fraud_Kozey-Boehm","12",0,"83"
"fraud_Kozey-Boehm","13",0,"86"
"fraud_Kozey-Boehm","14",0.021505376344086023,"93"
"fraud_Kozey-Boehm","15",0.030612244897959183,"98"
"fraud_Kozey-Boehm","16",0,"92"
"fraud_Kozey-Boehm","17",0,"95"
"fraud_Kozey-Boehm","18",0.04081632653061224,"98"
"fraud_Kozey-Boehm","19",0,"90"
"fraud_Kozey-Boehm","20",0,"78"
"fraud_Kozey-Boehm","21",0.010638297872340425,"94"
"fraud_Kozey-Boehm","22",0.1875,"96"
"fraud_Kozey-Boehm","23",0.13333333333333333,"105"
"fraud_Kuhic LLC","0",0,"68"
"fraud_Kuhic LLC","1",0,"55"
"fraud_Kuhic LLC","2",0.03125,"64"
"fraud_Kuhic LLC","3",0,"62"
"fraud_Kuhic LLC","4",0.013333333333333334,"75"
"fraud_Kuhic LLC","5",0,"79"
"fraud_Kuhic LLC","6",0,"55"
"fraud_Kuhic LLC","7",0,"75"
"fraud_Kuhic LLC","8",0,"77"
"fraud_Kuhic LLC","9",0,"69"
"fraud_Kuhic LLC","10",0,"70"
"fraud_Kuhic LLC","11",0,"80"
"fraud_Kuhic LLC","12",0.00980392156862745,"102"
"fraud_Kuhic LLC","13",0.010526315789473684,"95"
"fraud_Kuhic LLC","14",0,"81"
"fraud_Kuhic LLC","15",0.010526315789473684,"95"
"fraud_Kuhic LLC","16",0.01020408163265306,"98"
"fraud_Kuhic LLC","17",0,"93"
"fraud_Kuhic LLC","18",0.010869565217391304,"92"
"fraud_Kuhic LLC","19",0.02040816326530612,"98"
"fraud_Kuhic LLC","20",0,"98"
"fraud_Kuhic LLC","21",0.011627906976744186,"86"
"fraud_Kuhic LLC","22",0.10714285714285714,"112"
"fraud_Kuhic LLC","23",0.1509433962264151,"106"
"fraud_Mosciski, Ziemann and Farrell","0",0,"80"
"fraud_Mosciski, Ziemann and Farrell","1",0.014925373134328358,"67"
"fraud_Mosciski, Ziemann and Farrell","2",0.0136986301369863,"73"
"fraud_Mosciski, Ziemann and Farrell","3",0.016129032258064516,"62"
"fraud_Mosciski, Ziemann and Farrell","4",0,"78"
"fraud_Mosciski, Ziemann and Farrell","5",0,"63"
"fraud_Mosciski, Ziemann and Farrell","6",0,"66"
"fraud_Mosciski, Ziemann and Farrell","7",0,"70"
"fraud_Mosciski, Ziemann and Farrell","8",0,"72"
"fraud_Mosciski, Ziemann and Farrell","9",0,"65"
"fraud_Mosciski, Ziemann and Farrell","10",0,"76"
"fraud_Mosciski, Ziemann and Farrell","11",0,"70"
"fraud_Mosciski, Ziemann and Farrell","12",0,"78"
"fraud_Mosciski, Ziemann and Farrell","13",0.011764705882352941,"85"
"fraud_Mosciski, Ziemann and Farrell","14",0.011111111111111112,"90"
"fraud_Mosciski, Ziemann and Farrell","15",0,"109"
"fraud_Mosciski, Ziemann and Farrell","16",0.00980392156862745,"102"
"fraud_Mosciski, Ziemann and Farrell","17",0,"78"
"fraud_Mosciski, Ziemann and Farrell","18",0.01098901098901099,"91"
"fraud_Mosciski, Ziemann and Farrell","19",0.011764705882352941,"85"
"fraud_Mosciski, Ziemann and Farrell","20",0,"83"
"fraud_Mosciski, Ziemann and Farrell","21",0.010752688172043012,"93"
"fraud_Mosciski, Ziemann and Farrell","22",0.15053763440860216,"93"
"fraud_Mosciski, Ziemann and Farrell","23",0.09836065573770492,"122"
"fraud_Schmeler, Bashirian and Price","0",0.027777777777777776,"72"
"fraud_Schmeler, Bashirian and Price","1",0,"63"
"fraud_Schmeler, Bashirian and Price","2",0.013157894736842105,"76"
"fraud_Schmeler, Bashirian and Price","3",0,"81"
"fraud_Schmeler, Bashirian and Price","4",0,"76"
"fraud_Schmeler, Bashirian and Price","5",0,"59"
"fraud_Schmeler, Bashirian and Price","6",0,"67"
"fraud_Schmeler, Bashirian and Price","7",0,"77"
"fraud_Schmeler, Bashirian and Price","8",0,"58"
"fraud_Schmeler, Bashirian and Price","9",0,"74"
"fraud_Schmeler, Bashirian and Price","10",0,"70"
"fraud_Schmeler, Bashirian and Price","11",0.015151515151515152,"66"
"fraud_Schmeler, Bashirian and Price","12",0,"86"
"fraud_Schmeler, Bashirian and Price","13",0.012195121951219513,"82"
"fraud_Schmeler, Bashirian and Price","14",0.01282051282051282,"78"
"fraud_Schmeler, Bashirian and Price","15",0,"96"
"fraud_Schmeler, Bashirian and Price","16",0,"103"
"fraud_Schmeler, Bashirian and Price","17",0,"84"
"fraud_Schmeler, Bashirian and Price","18",0,"98"
"fraud_Schmeler, Bashirian and Price","19",0,"92"
"fraud_Schmeler, Bashirian and Price","20",0.02247191011235955,"89"
"fraud_Schmeler, Bashirian and Price","21",0,"93"
"fraud_Schmeler, Bashirian and Price","22",0.17117117117117117,"111"
"fraud_Schmeler, Bashirian and Price","23",0.11965811965811966,"117"
"fraud_Schumm PLC","0",0,"61"
"fraud_Schumm PLC","1",0.02857142857142857,"70"
"fraud_Schumm PLC","2",0,"53"
"fraud_Schumm PLC","3",0.01694915254237288,"59"
"fraud_Schumm PLC","4",0.014492753623188406,"69"
"fraud_Schumm PLC","5",0,"61"
"fraud_Schumm PLC","6",0,"81"
"fraud_Schumm PLC","7",0,"77"
"fraud_Schumm PLC","8",0,"71"
"fraud_Schumm PLC","9",0,"69"
"fraud_Schumm PLC","10",0,"60"
"fraud_Schumm PLC","11",0,"69"
"fraud_Schumm PLC","12",0,"85"
"fraud_Schumm PLC","13",0.009900990099009901,"101"
"fraud_Schumm PLC","14",0,"80"
"fraud_Schumm PLC","15",0.011494252873563218,"87"
"fraud_Schumm PLC","16",0,"93"
"fraud_Schumm PLC","17",0,"95"
"fraud_Schumm PLC","18",0.009523809523809525,"105"
"fraud_Schumm PLC","19",0.02127659574468085,"94"
"fraud_Schumm PLC","20",0,"88"
"fraud_Schumm PLC","21",0.028985507246376812,"69"
"fraud_Schumm PLC","22",0.11,"100"
"fraud_Schumm PLC","23",0.07339449541284404,"109"
